split,label,example_idx,turn,feature_30868,feature_11679,feature_9008,feature_31037,feature_20574,feature_32154,feature_22275,feature_14298,feature_27197,feature_6740
pass,1,14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024642877280712128
pass,1,14,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pass,1,15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pass,1,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pass,1,16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pass,1,16,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pass,1,17,1,0.0,0.011819987557828426,0.00837778765708208,0.0,0.0,0.0,0.009576917625963688,0.0,0.0,0.02489166520535946
pass,1,18,1,0.011665388010442257,0.01245883572846651,0.009249052032828331,0.012502572499215603,0.0,0.0,0.0,0.0,0.008846533484756947,0.017905626446008682
pass,1,18,2,0.0,0.0,0.056125469505786896,0.0,0.030250994488596916,0.03120197355747223,0.0,0.0,0.0,0.11712008714675903
pass,1,19,1,0.02071552723646164,0.023143552243709564,0.0,0.022949332371354103,0.015514914877712727,0.01732616126537323,0.0,0.0,0.0,0.04934254661202431
pass,1,19,2,0.0,0.0,0.031022248789668083,0.0,0.03171669691801071,0.03351706266403198,0.0,0.0,0.0,0.12459097057580948
pass,1,20,1,0.024670392274856567,0.02695986069738865,0.0,0.027057617902755737,0.04031393676996231,0.020414166152477264,0.0,0.0,0.0,0.09887202084064484
pass,1,20,2,0.0,0.0,0.011343903839588165,0.0,0.011377532035112381,0.02276282012462616,0.0,0.0,0.011555810458958149,0.04521965608000755
pass,1,21,1,0.01526403333991766,0.016345839947462082,0.0,0.016348587349057198,0.024462249130010605,0.012226823717355728,0.012762820348143578,0.0,0.0,0.03523530438542366
pass,1,21,2,0.0,0.0,0.019329648464918137,0.0,0.010083966888487339,0.020124947652220726,0.04486224427819252,0.0,0.04315728321671486,0.06015118584036827
pass,1,22,1,0.014430885203182697,0.0,0.0,0.0,0.011163334362208843,0.012453273870050907,0.025402003899216652,0.0,0.0,0.034873563796281815
pass,1,22,2,0.0,0.0,0.02819291315972805,0.0,0.030239367857575417,0.02939574606716633,0.0,0.0,0.0,0.0561080202460289
pass,1,23,1,0.013617856428027153,0.015145079232752323,0.0,0.015215891413390636,0.022623060271143913,0.011431845836341381,0.011255445890128613,0.0,0.0,0.021111024543642998
pass,1,23,2,0.0,0.0,0.020056789740920067,0.0,0.04132279381155968,0.041085824370384216,0.0,0.0,0.0,0.060565970838069916
pass,1,24,1,0.019459759816527367,0.021539216861128807,0.0,0.021665168926119804,0.014418168924748898,0.01622355915606022,0.020491108298301697,0.0,0.0,0.07750032842159271
pass,1,24,2,0.0,0.0,0.020125174894928932,0.0,0.02046065405011177,0.041625604033470154,0.0,0.0,0.0,0.12433317303657532
pass,1,25,1,0.01712752878665924,0.01816377229988575,0.0,0.01846003346145153,0.01256061252206564,0.014071812853217125,0.0,0.0,0.012808850966393948,0.03980310261249542
pass,1,25,2,0.0,0.0,0.018794799223542213,0.0,0.03832855075597763,0.04124931991100311,0.0,0.0,0.0,0.11630568653345108
pass,1,26,1,0.0,0.0,0.011598426848649979,0.0,0.03342871740460396,0.006021934561431408,0.012837992049753666,0.0,0.019655566662549973,0.024526240304112434
pass,1,27,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02256426028907299
pass,1,28,1,0.0,0.0,0.011248265393078327,0.0,0.012296890839934349,0.012048192322254181,0.014100862666964531,0.0,0.0,0.048663683235645294
pass,1,29,1,0.0,0.006485417950898409,0.0037447614595294,0.0,0.004074409604072571,0.003997738938778639,0.008866715244948864,0.0,0.008370481431484222,0.03224871680140495
pass,1,30,1,0.0,0.0,0.010238471440970898,0.0,0.023312965407967567,0.010927438735961914,0.0,0.0,0.0,0.03197231888771057
pass,1,31,1,0.0,0.0,0.015007158741354942,0.0,0.016375133767724037,0.01601242460310459,0.0,0.0,0.0,0.031513407826423645
